🦟,"['蚊子', '文', '蚊', '虫', '纹', '和蚊子', '剪刀', '害虫', '菜蝇', '子', '英文', '文字']","[128, 9, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1]",mosquito
📭,"['邮箱', '信箱']","[2, 1]",open_mailbox_with_lowered_flag
🕛,['时间'],[1],twelve_o’clock
☎️,['电话'],[2],telephone
🧨,"['鞭炮', '爆竹', '']","[86, 5, 2]",firecracker
🐉,"['龙', '侬', '神龙', '龙华', '聋']","[28, 3, 1, 1, 1]",dragon
🦂,"['蝎子', '耗', '小蝎子']","[14, 1, 1]",scorpion
🚺,"['女厕', '女厕所', '女', '等']","[3, 2, 1, 1]",women’s_room
🥌,['冰壶'],[7],curling_stone
👨🏼,['老头'],[1],man_medium-light_skin_tone
🏍,"['摩托车', '摩托', '骑车']","[5, 2, 1]",motorcycle
😋,"['好吃', '吃', '馋', '', '想吃', '美味', '呷', '吐舌头', '好食', '馋嘴', '好味', '喜欢', '好处', '调皮', '舌头', '东西']","[71, 33, 18, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",face_savoring_food
🟨,['黄色'],[1],yellow_square
🇯🇴,[''],[1],Jordan
😇,"['光环', '無辜', '天使', '晕', '老']","[4, 1, 1, 1, 1]",smiling_face_with_halo
🍻,"['干杯', '啤酒', '酒', '碰杯', '喝酒', '杯', '干杯干杯', '喝', '干呗', '心酸酒', '不醉不归', '乾杯', 'P']","[47, 22, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",clinking_beer_mugs
🎾,"['网球', '拍', '羽毛球']","[13, 1, 1]",tennis
☔,"['伞', '雨', '', '打伞']","[2, 1, 1, 1]",umbrella_with_rain_drops
👵🏿,[],[],old_woman_dark_skin_tone
🤢,"['恶心', '', '恶心了', '心', '恶心的', '噁心', '恶心、', '惡心']","[88, 3, 1, 1, 1, 1, 1, 1]",nauseated_face
💇,"['理发', '剪头发', '理发师', '剪发', '洗头', '', '耳坠', '理发店']","[20, 5, 2, 1, 1, 1, 1, 1]",person_getting_haircut
👩🏿‍🦲,['普秃头'],[1],woman_dark_skin_tone_bald
💛,"['心', '黄心', '黄']","[1, 1, 1]",yellow_heart
🙀,"['狼', '狗', '惊恐', '惊吓', '恐怖', '无语', '狐狸', '牛马', '惊讶']","[2, 2, 1, 1, 1, 1, 1, 1, 1]",weary_cat
🤰🏻,"['怀孕', '孕']","[1, 1]",pregnant_woman_light_skin_tone
🇨🇦,"['加拿大', '']","[3, 1]",Canada
🧛‍♀️,['吸血鬼'],[5],woman_vampire
🐃,"['牛', '水牛']","[26, 10]",water_buffalo
🌰,"['栗子', '板栗', '例子', '国']","[8, 7, 3, 1]",chestnut
🎈,"['气球', '球', '', '汽球', '气', '氢弹', '求求', '求', '皮球', '屁', '风筝', '飞了', '膨胀', '🎈', '地球', '起球', '热气球', '丑', '套', '气球气球', '祈求']","[444, 32, 6, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",balloon
🌌,['银河'],[1],milky_way
🏦,"['银行', '医院', '房子', '银', '瑞士银行', '银行了', '家', '学校', '銀行', '公司', '房贷', '大楼', '老窝', '能源', '警察局', '商业', '一行', '银行工作', '到家', '', '机构', '酒店', '天堂', '买房']","[150, 16, 12, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",bank
🤬,"['骂人', '爆粗口', '吐', '骂人了', '粗口', '生气', '谩骂', '', '骂你', '脏话']","[11, 3, 1, 1, 1, 1, 1, 1, 1, 1]",face_with_symbols_on_mouth
🦇,"['蝙蝠', '鸟']","[35, 1]",bat
☁,[],[],cloud
🥫,['罐头'],[3],canned_food
🎫,"['票', '门票', '券', '钞', '车', '', '卡']","[6, 5, 2, 1, 1, 1, 1]",ticket
🔘,"['按钮', '触摸键']","[37, 1]",radio_button
🤦‍♀️,"['我的天', '无语']","[4, 1]",woman_facepalming
🥴,['调戏'],[1],woozy_face
📳,['震动棒'],[1],vibration_mode
🧗‍♂️,"['爬山', '山']","[1, 1]",man_climbing
🤷🏼‍♀️,['不知道'],[1],woman_shrugging_medium-light_skin_tone
♀,['♀'],[1],female_sign
🤣,"['笑死', '笑死了', '哈哈', '笑哭']","[5, 2, 1, 1]",rolling_on_the_floor_laughing
🩲,"['内裤', '裤衩', '底裤', '裤衩子', '內褲', '泳裤', '', '三角裤', '衩的', '打底裤', '裤']","[57, 49, 15, 2, 2, 2, 1, 1, 1, 1, 1]",briefs
👩‍🦯,['盲人'],[2],woman_with_white_cane
📄,"['纸', '直', '表', '文件', '只']","[3, 1, 1, 1, 1]",page_facing_up
🚰,['水龙头'],[11],potable_water
💻,"['电脑', '电脑前', '笔记本电脑', '网上']","[25, 1, 1, 1]",laptop
🧬,"['基因', '糖果', '', '染色体', '变异', 'DNA', '基因链']","[33, 4, 3, 2, 2, 1, 1]",dna
🚶‍♀️,"['散步', '走路']","[3, 3]",woman_walking
🚨,['警灯'],[3],police_car_light
🏅,"['金牌', '奖牌', '獎牌']","[8, 3, 2]",sports_medal
🇭🇺,['匈牙利'],[1],Hungary
🐄,"['奶牛', '牛', '奶', '乳', '母牛', '扭', '奶牛奶牛', '']","[63, 6, 4, 1, 1, 1, 1, 1]",cow
👩‍❤️‍👨,['夫妻'],[2],couple_with_heart_woman_man
🚡,['缆车'],[3],aerial_tramway
🌽,"['玉米', '苞米', '棒子', '🌽']","[95, 5, 2, 1]",ear_of_corn
🧳,"['行李', '行李箱', '箱', '箱子', '旅客']","[9, 3, 1, 1, 1]",luggage
🚆,"['火车', '和谐号']","[8, 2]",train
🍋,"['酸', '柠檬', '', '柠檬精', '菠萝', '嫉妒']","[41, 41, 3, 1, 1, 1]",lemon
💬,"['说话', '消息', '流言', '话', '发言']","[12, 2, 1, 1, 1]",speech_balloon
✌🏼,['耶'],[1],victory_hand_medium-light_skin_tone
🪓,"['砍', '斧头', '斧子', '砍倒', '砍下', '劈', '砍了', '', '刀']","[12, 8, 7, 1, 1, 1, 1, 1, 1]",axe
⛓️,[''],[1],chains
🔞,"['未成年', '十八禁', '18禁', '少儿不宜', '十八', '18', '禁', '成人', '未成年禁止', '18禁止', '', '未满18岁']","[16, 15, 12, 4, 1, 1, 1, 1, 1, 1, 1, 1]",no_one_under_eighteen
🐷,"['猪', '猪头', '主', '猪猪', '足', '朱', '诸', '诛', '侏', '']","[324, 5, 3, 2, 1, 1, 1, 1, 1, 1]",pig_face
❗,"['', '！']","[2, 1]",red_exclamation_mark
📪,['邮箱'],[1],closed_mailbox_with_lowered_flag
🥸,['🥸'],[1],disguised_face
🈺,"['营', '营业', '当', '赏', '', '党']","[4, 3, 2, 2, 1, 1]",Japanese_open_for_business_button
📶,"['信号', '号', '网']","[45, 1, 1]",antenna_bars
👩‍🏭,"['子', '打工人']","[1, 1]",woman_factory_worker
👨‍👩‍👧,"['', '三口']","[1, 1]",family_man_woman_girl
💁🏻‍♂️,['服务员'],[1],man_tipping_hand_light_skin_tone
🙋,"['举手', '挥手', '同胞', '嗨', '早上好', '报名', '', '同意', '老师', '我', '报告', '打招呼', '认同', '女人']","[15, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",person_raising_hand
🐽,"['猪鼻子', '猪', '鼻子', '猪鼻', '屎']","[7, 4, 4, 3, 1]",pig_nose
🪶,['🪶'],[2],feather
😚,"['亲亲', '亲', '亲一口', '么么', '嘟嘟嘴', '么么哒', '嘟嘴', '亲吻']","[35, 16, 5, 1, 1, 1, 1, 1]",kissing_face_with_closed_eyes
🙏🏼,['求求了'],[1],folded_hands_medium-light_skin_tone
🏳️,"['白旗', '投降', '白', '投', '', '国旗']","[16, 16, 1, 1, 1, 1]",white_flag
🚌,"['公交车', '巴士', '公交', '车', '汽车', '公共汽车', '大巴', '班车', '四机房', '救护', '二路', '客', '', '巴车', '1路']","[46, 21, 17, 9, 6, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1]",bus
✌️,"['赢了', '页', '(瞎掰掰)']","[2, 1, 1]",victory_hand
💉,"['针', '打针', '抽血', '刺']","[20, 11, 1, 1]",syringe
🚓,"['警车', '车', '汽车', '警', '警察']","[39, 6, 3, 1, 1]",police_car
🕰️,"['钟', '中', '种', '众号', '丧钟', '点', '分钟']","[7, 2, 2, 1, 1, 1, 1]",mantelpiece_clock
💖,"['爱', '心', '喜欢', '信', '心中', '红', '爱了', '浪漫', '爱心']","[8, 6, 2, 2, 1, 1, 1, 1, 1]",sparkling_heart
🛏️,"['床', '床上', '上床', '床位', '窗', '', '床铺']","[226, 10, 2, 1, 1, 1, 1]",bed
🥰,"['喜欢', '可爱', '兴奋', '开心', '幸福', '亲', '喜欢你', '漂亮', '支持', '开开心心', '亲爱的', '亲亲']","[18, 5, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1]",smiling_face_with_hearts
🐔,"['鸡', '鸡鸡', '机', '基', '击', '计', '圾', '急', '纪']","[432, 5, 3, 2, 1, 1, 1, 1, 1]",chicken
🏋️,[],[],person_lifting_weights
💐,"['鲜花', '花', '', '献花', '支持', '花儿', '花花', '花束', '铭记']","[19, 12, 2, 1, 1, 1, 1, 1, 1]",bouquet
5⃣,['5'],[1],keycap_5
🥲,['🥲'],[2],smiling_face_with_tear
🗻,"['富士山', '山', '发射富士山', '富', '火山']","[35, 31, 1, 1, 1]",mount_fuji
🪄,['🪄'],[1],magic_wand
🎎,['夫妻'],[2],Japanese_dolls
🐙,"['章鱼', '八爪鱼', '污蔑', '乌克兰', '忧郁', '章宇', '小章鱼']","[25, 3, 2, 1, 1, 1, 1]",octopus
🥬,"['白菜', '菜', '青菜', '蔬菜', '大白菜', '生菜', '白菜价格', '', '绿', '蔡英文', '白菜了', '小白菜', '小青菜', '白菜儿']","[201, 26, 15, 14, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1]",leafy_green
🍫,"['巧克力', '']","[16, 1]",chocolate_bar
👏,"['鼓掌', '掌声', '拍手']","[23, 4, 1]",clapping_hands
👇🏻,"['下面', '', '下', '面', '这', '低']","[58, 2, 2, 1, 1, 1]",backhand_index_pointing_down_light_skin_tone
🤱🏻,['妈妈'],[1],breast-feeding_light_skin_tone
🐑,"['羊', '洋', '养', '阳', '杨', '样', '绵羊', '羊羊', '痒', '', '羊羔', '咩', '逼', '小绵羊', '扬', '咩咩', 'man', '杨洋', '薅羊毛', '替罪羊', '山羊', '母羊', '羊糕', '洋洋', '白羊']","[282, 13, 10, 8, 8, 6, 6, 5, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",ewe
😨,"['害怕', '', '震惊', '可怕', '恐惧', '害', '凉', '不害怕', '完', '晕', '担心']","[116, 7, 4, 3, 3, 2, 1, 1, 1, 1, 1]",fearful_face
🤴,"['王子', '国王']","[12, 1]",prince
🧩,"['拼图', '碎片']","[5, 3]",puzzle_piece
🪱,['🪱'],[1],worm
🟡,"['黄', '脂']","[1, 1]",yellow_circle
🍶,"['酒', '喝酒', '白酒', '', '喝', '释放', '酒杯', '假酒']","[56, 39, 7, 2, 1, 1, 1, 1]",sake
🤵‍♀️,[''],[1],woman_in_tuxedo
😃,"['开心', '高兴', '好', '哈哈', '', '笑脸', '早上好', '心开心', '激动', '快乐', '可笑了']","[61, 16, 7, 4, 3, 2, 1, 1, 1, 1, 1]",grinning_face_with_big_eyes
🍍,"['菠萝', '凤梨', '买菠萝', '']","[43, 16, 1, 1]",pineapple
👍🏻,"['赞', '棒', '好', '好棒', '很棒', '赞🏻', '厉害', '', '漂亮', '给力', '多棒', '太棒', '棒棒的', '绝了', '花', '最棒', '厉害了', '真棒', '妙啊', '牛', '点赞']","[17, 7, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",thumbs_up_light_skin_tone
🏊,"['游泳', '游']","[30, 1]",person_swimming
🦅,"['鹰', '雕', '老鹰', '鸟', '吊', '屌', '美国', '英', '', '音', '英国', '硬', '阴', '美', '鹰酱', '赢', '英文', '飞', '叼', '鸽', '鸡鸡', '因', '引', '夜', '大鹰', '大鸟', '鸡儿', '爪', '貂', '迎', '应', '文']","[303, 62, 57, 30, 26, 21, 18, 18, 7, 6, 6, 6, 6, 5, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",eagle
🌶️,"['辣椒', '辣', '', '垃圾', '红色辣椒', '狗', '红辣椒', '啦']","[60, 5, 3, 2, 1, 1, 1, 1]",hot_pepper
💂,"['卫士', '士兵', '妈', '卫兵', '理发']","[1, 1, 1, 1, 1]",guard
🪟,[],[],window
🤌,['🤌'],[1],pinched_fingers
🇨🇱,[],[],Chile
🥷,['🥷'],[1],ninja
🫂,['🫂'],[2],people_hugging
💆,"['按摩', '洗头', '妈', '小姐', '', '女', '女人']","[11, 1, 1, 1, 1, 1, 1]",person_getting_massage
📒,"['账本', '本子', '本', '笔记']","[1, 1, 1, 1]",ledger
👩‍💻,"['技师', '工作']","[2, 1]",woman_technologist
🍺,"['啤酒', '酒', '喝酒', '逼', '啤', '喝', '皮', '批', '杯', '', '干杯', '酒量', '茶', '雪花啤酒', '牛', '喝多了吧', '啤酒啤酒', '屁', '就', '货', '伏特加', '就喝', '然喝酒', '啤酒！']","[216, 104, 48, 34, 15, 6, 5, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",beer_mug
💇🏻‍♀️,"['理发', '剪头发']","[2, 1]",woman_getting_haircut_light_skin_tone
🎦,"['电影', '录像', '']","[9, 1, 1]",cinema
🍠,"['红薯', '小红书', '地瓜', '番薯', '薯', '书', '红书', '小红薯', '', '番薯头']","[33, 16, 12, 10, 4, 4, 2, 1, 1, 1]",roasted_sweet_potato
🚩,"['红旗', '旗', '旗帜', '国旗', '奇', '旗杆', '中国', '小红旗', '紅旗', '祖国']","[86, 6, 4, 2, 1, 1, 1, 1, 1, 1]",triangular_flag
🥁,"['鼓', '打鼓', '乐', '鼓里', '鼓鼓']","[28, 3, 1, 1, 1]",drum
📆,['日历'],[3],tear-off_calendar
🇺🇳,"['联合国', '']","[2, 1]",United_Nations
👬🏻,['兄弟'],[1],men_holding_hands_light_skin_tone
🚲,"['自行车', '摩托车', '单车', '车', '摩托', '机车', '公共', '脚踏车', '电动', '山地车', '骑车']","[86, 23, 20, 6, 5, 2, 1, 1, 1, 1, 1]",bicycle
🗿,"['雕像', '雕塑', '石像']","[5, 1, 1]",moai
😦,['呆'],[1],frowning_face_with_open_mouth
👊🏻,"['拳头', '打', '', '权', '打你', '拳', '拳頭', '拳头硬', '女拳', '一拳', '拳头拳头', '挙', '头', '出拳', '打击', '你', '权力']","[88, 36, 8, 6, 6, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",oncoming_fist_light_skin_tone
🖕🏿,['杂种'],[1],middle_finger_dark_skin_tone
✋🏻,"['手心', '手掌', '巴掌']","[1, 1, 1]",raised_hand_light_skin_tone
🦷,"['牙', '', '亚']","[68, 2, 1]",tooth
👩‍🦲,"['光头', '尼姑', '秃顶', '秃头', '头']","[5, 5, 3, 2, 1]",woman_bald
🗽,"['自由女神', '自由女神像', '女神像', '美国']","[12, 4, 3, 1]",Statue_of_Liberty
🐳,"['鲸鱼', '鲸', '蓝鲸', '普京', '京', '喷水', '精', '鱼', '金', '鲸大帝', '大鲸鱼', '恐龙', '惊', '鯨']","[34, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",spouting_whale
🍿,"['爆米花', '可乐']","[11, 1]",popcorn
🧺,"['篮子', '水桶', '菜篮子', '蓝', '筐', '框', '篮', '水']","[16, 2, 2, 1, 1, 1, 1, 1]",basket
📺,"['电视', '电视机', '电视剧', '媒体', '電視', '偷电视']","[100, 11, 4, 2, 1, 1]",television
✊,[],[],raised_fist
😡,"['气愤', '滚', '生气', '愤怒', '怒', '气人', '魔鬼', '气', '恶魔', '发怒', '气死', '恼火', '烦死', '崩溃', '', '严惩', '干', '滚蛋', '激怒', '汉奸', '烦', '子', '窝火', '火', '完', '滚滚', '滚蛋！', '惹怒', '死', '气死我', '人', '鬼', '气死了', '烦人', '气人了', '众怒', '好气啊']","[23, 22, 22, 20, 8, 7, 6, 5, 5, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",pouting_face
🍁,"['枫叶', '加拿大', '微信', '红叶']","[14, 2, 1, 1]",maple_leaf
🧍🏼‍♀️,['妹妹'],[1],woman_standing_medium-light_skin_tone
🍛,"['咖喱饭', '火锅', '鸳鸯锅', '饭']","[3, 2, 1, 1]",curry_rice
👨🏻‍🦳,"['老头', '大爷', '爷', '爷爷', '老头子', '', '老头儿', '头', '老頭', '老年人']","[45, 16, 13, 8, 3, 2, 1, 1, 1, 1]",man_light_skin_tone_white_hair
🍑,"['淘宝', '桃', '桃子', '蜜桃', '屁股', '淘', '水蜜桃', '套', '', '桃桃', '臀', '桃城中学', '桃城', '屁', '陶', '毛桃', '淘宝店', '小蜜桃', '胸', '涛', '逃跑', '桃中', '桃味', '宝', '桃臀', '蜜桃臀', '淘宝套']","[331, 101, 68, 47, 22, 20, 11, 11, 9, 7, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",peach
🐡,"['河豚', '豚', '金鱼', '鱼']","[9, 1, 1, 1]",blowfish
🔛,"['开启', '结束', '开始']","[25, 1, 1]",ON!_arrow
🎽,['背心'],[12],running_shirt
😈,"['邪恶', '恶魔', '魔鬼', '阴险', '鬼', '诅咒', '狠毒', '邪恶了', '敌人']","[43, 27, 11, 6, 2, 1, 1, 1, 1]",smiling_face_with_horns
👛,"['钱包', '包', '囊中']","[13, 1, 1]",purse
🦝,['浣熊'],[1],raccoon
🍚,"['米饭', '饭', '米', '大米饭', '岛', '白飯', '饭碗', '白饭', '钱', '翻', '面', '罕', '白米饭了']","[44, 10, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",cooked_rice
♨️,['温泉'],[1],hot_springs
🌎,"['地球', '球', '']","[10, 1, 1]",globe_showing_Americas
🐚,"['贝壳', '海螺', '肉', '海贝', '石头', '螺丝', '螺']","[6, 4, 2, 1, 1, 1, 1]",spiral_shell
🇰🇭,['柬埔寨'],[3],Cambodia
⛽,['加油'],[1],fuel_pump
🤘🏼,['摇滚'],[1],sign_of_the_horns_medium-light_skin_tone
👿,"['魔鬼', '恶魔', '傻逼', '邪恶', '魔王', '鬼', '坏人', '美国', '', '恶魔魔鬼', '畜牲', '强盗', '魔头', '傀儡', '戏精', '惡魔', '恶毒', '恐怖', '败类', '生气', '战斗', '愤怒', '丑逼', '人', '变态', '邪恶的', '小人', '野蛮人', '怪物', '招魂', '垃圾', '凶残', '死', '厉鬼', '恶']","[268, 265, 7, 6, 5, 5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",angry_face_with_horns
🌬,"['吹气', '风']","[1, 1]",wind_face
🧚,"['仙女', '', '小仙女']","[4, 1, 1]",fairy
🧶,"['毛线', '球', '毛线球', '线', '', '冒险', '毛']","[131, 9, 4, 4, 3, 1, 1]",yarn
🅿️,"['停车', '停车场', '民']","[10, 2, 1]",P_button
🐅,"['老虎', '虎', '', '蚁']","[50, 6, 2, 1]",tiger
🧦,"['袜子', '裤子', '袜']","[80, 1, 1]",socks
📸,"['拍照', '摄影', '拍', '相机']","[21, 1, 1, 1]",camera_with_flash
👨‍🍼,['奶爸'],[2],man_feeding_baby
🦮,"['狗', '犬', '🦮', '疯狗', '金毛', '哮天犬', '']","[33, 2, 1, 1, 1, 1, 1]",guide_dog
✂️,['剪刀'],[1],scissors
😜,"['调皮', '可爱', '', '呵呵', '眨眼', '调皮了', '喜欢', '谢谢啦', '开心', '笑了', '调皮鬼', '笑']","[54, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1]",winking_face_with_tongue
🚶,"['走路', '走', '散步', '走走', '人', '哥', '散散步', '姿态', '步', '老头，', '孙女', '路人', '跑步', '帅哥', '付出', '走了', '跑']","[58, 11, 8, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",person_walking
🧎‍♂️,"['跪', '下跪', '对不起', '跪下']","[10, 4, 2, 2]",man_kneeling
🛏,"['床', '床上', '', '家']","[78, 5, 1, 1]",bed
🥥,"['椰子', '页']","[13, 1]",coconut
🔧,"['扳手', '工具', '修理', '大扳手']","[28, 5, 3, 1]",wrench
🔜,"['快速', '马上']","[3, 1]",SOON_arrow
🚶🏻‍♂️,"['行人', '走路']","[1, 1]",man_walking_light_skin_tone
🍒,"['樱桃', '车厘子']","[2, 1]",cherries
